run_id,timestamp,protocol,http_version,payload,attempt,http_code,size_bytes,time_namelookup_s,time_connect_s,time_appconnect_s,time_pretransfer_s,time_starttransfer_s,time_total_s,time_to_last_byte_s,body_transfer_s,speed_Bps,speed_KBps,speed_MBps,num_connects,num_redirects
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,1,200,102400,0.000247,0.000302,0.002664,0.002681,0.003027,0.003189,0.003189,0.000162,32110379,31357.792,30.623,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,2,200,102400,0.000205,0.000258,0.002593,0.002612,0.002978,0.003084,0.003084,0.000106,33203631,32425.421,31.665,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,3,200,102400,0.000198,0.000250,0.002566,0.002581,0.002928,0.003013,0.003013,0.000085,33986060,33189.512,32.412,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,4,200,102400,0.000375,0.000435,0.002725,0.002739,0.003049,0.003151,0.003151,0.000102,32497619,31735.956,30.992,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,5,200,102400,0.000178,0.000219,0.002405,0.002420,0.002675,0.002773,0.002773,0.000098,36927515,36062.026,35.217,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,6,200,102400,0.000166,0.000203,0.002355,0.002368,0.002641,0.002720,0.002720,0.000079,37647058,36764.705,35.903,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,7,200,102400,0.000179,0.000217,0.002395,0.002408,0.002641,0.002730,0.002730,0.000089,37509157,36630.036,35.772,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,8,200,102400,0.000162,0.000203,0.002355,0.002368,0.002628,0.002704,0.002704,0.000076,37869822,36982.248,36.115,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,9,200,102400,0.000169,0.000217,0.002429,0.002444,0.002679,0.002769,0.002769,0.000090,36980859,36114.120,35.268,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,10,200,102400,0.000188,0.000225,0.002458,0.002472,0.002718,0.002826,0.002826,0.000108,36234961,35385.704,34.556,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,11,200,102400,0.000265,0.000305,0.002576,0.002589,0.002837,0.002918,0.002918,0.000081,35092529,34270.048,33.467,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,12,200,102400,0.000155,0.000192,0.002383,0.002396,0.002656,0.002728,0.002728,0.000072,37536656,36656.891,35.798,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,13,200,102400,0.000167,0.000216,0.002373,0.002386,0.002621,0.002704,0.002704,0.000083,37869822,36982.248,36.115,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,14,200,102400,0.000139,0.000172,0.002376,0.002390,0.002631,0.002743,0.002743,0.000112,37331388,36456.434,35.602,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,15,200,102400,0.000149,0.000183,0.002320,0.002333,0.002572,0.002654,0.002654,0.000082,38583270,37678.975,36.796,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,16,200,102400,0.000158,0.000195,0.002397,0.002409,0.002661,0.002760,0.002760,0.000099,37101449,36231.884,35.383,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,17,200,102400,0.000157,0.000192,0.002381,0.002397,0.002643,0.002731,0.002731,0.000088,37495422,36616.623,35.758,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,18,200,102400,0.000140,0.000185,0.002339,0.002355,0.002571,0.002656,0.002656,0.000085,38554216,37650.602,36.768,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,19,200,102400,0.000175,0.000212,0.002399,0.002411,0.002648,0.002737,0.002737,0.000089,37413226,36536.354,35.680,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,20,200,102400,0.000186,0.000227,0.002397,0.002409,0.002637,0.002726,0.002726,0.000089,37564196,36683.785,35.824,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,21,200,102400,0.000157,0.000196,0.002350,0.002366,0.002609,0.002681,0.002681,0.000072,38194703,37299.515,36.425,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,22,200,102400,0.000148,0.000183,0.002348,0.002362,0.002609,0.002683,0.002683,0.000074,38166231,37271.710,36.398,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,23,200,102400,0.000157,0.000190,0.002397,0.002409,0.002641,0.002722,0.002722,0.000081,37619397,36737.692,35.877,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,24,200,102400,0.000158,0.000197,0.002297,0.002309,0.002574,0.002646,0.002646,0.000072,38699924,37792.895,36.907,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,25,200,102400,0.000189,0.000231,0.002416,0.002430,0.002665,0.002754,0.002754,0.000089,37182280,36310.820,35.460,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,26,200,102400,0.000148,0.000183,0.002344,0.002357,0.002595,0.002693,0.002693,0.000098,38024507,37133.308,36.263,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,27,200,102400,0.000180,0.000220,0.002410,0.002426,0.002679,0.002769,0.002769,0.000090,36980859,36114.120,35.268,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,28,200,102400,0.000175,0.000214,0.002417,0.002431,0.002655,0.002737,0.002737,0.000082,37413226,36536.354,35.680,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,29,200,102400,0.000160,0.000193,0.002327,0.002341,0.002560,0.002646,0.002646,0.000086,38699924,37792.895,36.907,1,0
20260426T222434Z,2026-04-26T22:24:34Z,HTTP/1.1,1.1,100kb.bin,30,200,102400,0.000163,0.000198,0.002341,0.002354,0.002584,0.002668,0.002668,0.000084,38380809,37481.259,36.603,1,0
20260426T222434Z,2026-04-26T22:24:35Z,HTTP/1.1,1.1,100kb.bin,31,200,102400,0.000171,0.000210,0.002355,0.002368,0.002605,0.002691,0.002691,0.000086,38052768,37160.906,36.290,1,0
