run_id,timestamp,protocol,http_version,payload,attempt,http_code,size_bytes,time_namelookup_s,time_connect_s,time_appconnect_s,time_pretransfer_s,time_starttransfer_s,time_total_s,time_to_last_byte_s,body_transfer_s,speed_Bps,speed_KBps,speed_MBps,num_connects,num_redirects
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,1,200,102400,0.000207,0.000273,0.003058,0.003076,0.003455,0.003553,0.003553,0.000098,28820714,28145.229,27.486,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,2,200,102400,0.000192,0.000252,0.002761,0.002777,0.003123,0.003231,0.003231,0.000108,31692974,30950.170,30.225,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,3,200,102400,0.000230,0.000287,0.004613,0.004650,0.005063,0.005305,0.005305,0.000242,19302544,18850.141,18.408,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,4,200,102400,0.000197,0.000256,0.002471,0.002486,0.002777,0.002850,0.002850,0.000073,35929824,35087.719,34.265,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,5,200,102400,0.000187,0.000230,0.002707,0.002725,0.002975,0.003047,0.003047,0.000072,33606826,32819.166,32.050,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,6,200,102400,0.000164,0.000218,0.002404,0.002418,0.002675,0.002788,0.002788,0.000113,36728837,35868.005,35.027,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,7,200,102400,0.000177,0.000221,0.002416,0.002433,0.002686,0.002776,0.002776,0.000090,36887608,36023.055,35.179,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,8,200,102400,0.000161,0.000197,0.002363,0.002379,0.002632,0.002729,0.002729,0.000097,37522902,36643.459,35.785,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,9,200,102400,0.000183,0.000229,0.002634,0.002647,0.002901,0.002994,0.002994,0.000093,34201736,33400.133,32.617,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,10,200,102400,0.000152,0.000187,0.002475,0.002488,0.002717,0.002809,0.002809,0.000092,36454254,35599.857,34.765,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,11,200,102400,0.000172,0.000210,0.002355,0.002368,0.002613,0.002700,0.002700,0.000087,37925925,37037.036,36.169,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,12,200,102400,0.000149,0.000188,0.002432,0.002448,0.002716,0.002784,0.002784,0.000068,36781609,35919.540,35.078,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,13,200,102400,0.000147,0.000183,0.002348,0.002361,0.002586,0.002660,0.002660,0.000074,38496240,37593.984,36.713,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,14,200,102400,0.000147,0.000193,0.002364,0.002379,0.002604,0.002677,0.002677,0.000073,38251774,37355.248,36.480,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,15,200,102400,0.000158,0.000193,0.002325,0.002338,0.002561,0.002647,0.002647,0.000086,38685304,37778.617,36.893,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,16,200,102400,0.000155,0.000194,0.002419,0.002432,0.002655,0.002773,0.002773,0.000118,36927515,36062.026,35.217,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,17,200,102400,0.000151,0.000187,0.002360,0.002373,0.002623,0.002695,0.002695,0.000072,37996289,37105.751,36.236,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,18,200,102400,0.000148,0.000182,0.002312,0.002323,0.002561,0.002638,0.002638,0.000077,38817285,37907.505,37.019,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,19,200,102400,0.000235,0.000279,0.002444,0.002457,0.002677,0.002767,0.002767,0.000090,37007589,36140.224,35.293,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,20,200,102400,0.000150,0.000185,0.002372,0.002384,0.002618,0.002708,0.002708,0.000090,37813884,36927.621,36.062,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,21,200,102400,0.000160,0.000193,0.002348,0.002363,0.002686,0.002758,0.002758,0.000072,37128353,36258.157,35.408,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,22,200,102400,0.000159,0.000202,0.002421,0.002436,0.002680,0.002771,0.002771,0.000091,36954168,36088.055,35.242,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,23,200,102400,0.000181,0.000230,0.002390,0.002403,0.002658,0.002740,0.002740,0.000082,37372262,36496.350,35.641,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,24,200,102400,0.000169,0.000208,0.002362,0.002375,0.002600,0.002689,0.002689,0.000089,38081071,37188.546,36.317,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,25,200,102400,0.000172,0.000210,0.002386,0.002402,0.002645,0.002715,0.002715,0.000070,37716390,36832.412,35.969,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,26,200,102400,0.000150,0.000184,0.002329,0.002345,0.002593,0.002705,0.002705,0.000112,37855822,36968.576,36.102,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,27,200,102400,0.000164,0.000204,0.002373,0.002387,0.002589,0.002671,0.002671,0.000082,38337701,37439.161,36.562,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,28,200,102400,0.000168,0.000207,0.002386,0.002400,0.002649,0.002735,0.002735,0.000086,37440585,36563.071,35.706,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,29,200,102400,0.000155,0.000192,0.002389,0.002402,0.002649,0.002737,0.002737,0.000088,37413226,36536.354,35.680,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,30,200,102400,0.000161,0.000201,0.002379,0.002393,0.002630,0.002701,0.002701,0.000071,37911884,37023.324,36.156,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,31,200,102400,0.000172,0.000209,0.002397,0.002413,0.002673,0.002759,0.002759,0.000086,37114896,36245.016,35.396,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,32,200,102400,0.000191,0.000231,0.002400,0.002413,0.002694,0.002780,0.002780,0.000086,36834532,35971.223,35.128,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,33,200,102400,0.000142,0.000177,0.002307,0.002321,0.002569,0.002652,0.002652,0.000083,38612368,37707.391,36.824,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,34,200,102400,0.000179,0.000215,0.002396,0.002412,0.002645,0.002731,0.002731,0.000086,37495422,36616.623,35.758,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,35,200,102400,0.000165,0.000203,0.002387,0.002400,0.002639,0.002729,0.002729,0.000090,37522902,36643.459,35.785,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,36,200,102400,0.000157,0.000191,0.002317,0.002333,0.002578,0.002673,0.002673,0.000095,38309016,37411.148,36.534,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,37,200,102400,0.000169,0.000205,0.002372,0.002385,0.002661,0.002735,0.002735,0.000074,37440585,36563.071,35.706,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,38,200,102400,0.000187,0.000222,0.002381,0.002395,0.002620,0.002712,0.002712,0.000092,37758112,36873.156,36.009,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,39,200,102400,0.000192,0.000228,0.002398,0.002411,0.002648,0.002715,0.002715,0.000067,37716390,36832.412,35.969,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/1.1,1.1,100kb.bin,40,200,102400,0.000155,0.000198,0.002338,0.002351,0.002581,0.002670,0.002670,0.000089,38352059,37453.183,36.575,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,1,200,102400,0.000158,0.000197,0.002371,0.002406,0.002701,0.002803,0.002803,0.000102,36532286,35676.061,34.840,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,2,200,102400,0.000176,0.000214,0.002343,0.002374,0.002677,0.002816,0.002816,0.000139,36363636,35511.363,34.679,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,3,200,102400,0.000158,0.000201,0.002338,0.002366,0.002700,0.002862,0.002862,0.000162,35779175,34940.601,34.122,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,4,200,102400,0.000152,0.000185,0.002371,0.002401,0.002733,0.002839,0.002839,0.000106,36069038,35223.670,34.398,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,5,200,102400,0.000185,0.000232,0.002371,0.002401,0.002683,0.002772,0.002772,0.000089,36940836,36075.035,35.230,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,6,200,102400,0.000165,0.000200,0.002343,0.002372,0.002677,0.002782,0.002782,0.000105,36808051,35945.362,35.103,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,7,200,102400,0.000151,0.000190,0.002430,0.002462,0.002810,0.002961,0.002961,0.000151,34582911,33772.374,32.981,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,8,200,102400,0.000182,0.000224,0.002371,0.002400,0.002690,0.003233,0.003233,0.000543,31673368,30931.023,30.206,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,9,200,102400,0.000193,0.000237,0.002387,0.002418,0.002711,0.002801,0.002801,0.000090,36558372,35701.535,34.865,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,10,200,102400,0.000155,0.000194,0.002381,0.002411,0.002731,0.002901,0.002901,0.000170,35298173,34470.872,33.663,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,11,200,102400,0.000148,0.000184,0.002388,0.002417,0.002709,0.002854,0.002854,0.000145,35879467,35038.542,34.217,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,12,200,102400,0.000169,0.000206,0.002378,0.002407,0.002726,0.002857,0.002857,0.000131,35841792,35001.750,34.181,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,13,200,102400,0.000172,0.000213,0.002406,0.002436,0.002740,0.002851,0.002851,0.000111,35917222,35075.412,34.253,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,14,200,102400,0.000177,0.000215,0.002365,0.002394,0.002708,0.002825,0.002825,0.000117,36247787,35398.229,34.569,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,15,200,102400,0.000161,0.000204,0.002812,0.002853,0.003324,0.003447,0.003447,0.000123,29706991,29010.733,28.331,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,16,200,102400,0.000196,0.000243,0.002491,0.002525,0.002828,0.002952,0.002952,0.000124,34688346,33875.338,33.081,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,17,200,102400,0.000168,0.000214,0.002397,0.002428,0.002756,0.002889,0.002889,0.000133,35444790,34614.053,33.803,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,18,200,102400,0.000164,0.000204,0.002370,0.002401,0.002728,0.002835,0.002835,0.000107,36119929,35273.368,34.447,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,19,200,102400,0.000156,0.000194,0.002342,0.002371,0.002666,0.002787,0.002787,0.000121,36742016,35880.875,35.040,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,20,200,102400,0.000175,0.000217,0.002403,0.002436,0.002744,0.002841,0.002841,0.000097,36043646,35198.873,34.374,1,0
20260426T222240Z,2026-04-26T22:22:40Z,HTTP/2,2,100kb.bin,21,200,102400,0.000262,0.000302,0.002481,0.002511,0.002823,0.002940,0.002940,0.000117,34829931,34013.604,33.216,1,0
20260426T222240Z,2026-04-26T22:22:41Z,HTTP/2,2,100kb.bin,22,200,102400,0.000146,0.000185,0.002338,0.002375,0.002682,0.002837,0.002837,0.000155,36094465,35248.501,34.422,1,0
20260426T222240Z,2026-04-26T22:22:41Z,HTTP/2,2,100kb.bin,23,200,102400,0.000284,0.000328,0.002570,0.002604,0.002953,0.003074,0.003074,0.000121,33311646,32530.904,31.768,1,0
20260426T222240Z,2026-04-26T22:22:41Z,HTTP/2,2,100kb.bin,24,200,102400,0.000187,0.000229,0.002413,0.002444,0.002788,0.002903,0.002903,0.000115,35273854,34447.123,33.640,1,0
20260426T222240Z,2026-04-26T22:22:41Z,HTTP/2,2,100kb.bin,25,200,102400,0.000175,0.000212,0.002394,0.002424,0.002728,0.002853,0.002853,0.000125,35892043,35050.823,34.229,1,0
20260426T222240Z,2026-04-26T22:22:41Z,HTTP/2,2,100kb.bin,26,200,102400,0.000193,0.000233,0.002465,0.002495,0.002806,0.002937,0.002937,0.000131,34865509,34048.349,33.250,1,0
