request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_transfer_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
1,100kb.bin,1,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.004,0,0.000,0.000
2,100kb.bin,2,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
3,100kb.bin,3,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
4,100kb.bin,4,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
5,100kb.bin,5,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
6,100kb.bin,6,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.004,0,0.000,0.000
7,100kb.bin,7,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.004,0,0.000,0.000
8,100kb.bin,8,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
9,100kb.bin,9,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
10,100kb.bin,10,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
11,1mb.bin,1,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
12,1mb.bin,2,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
13,1mb.bin,3,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
14,1mb.bin,4,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.002,0,0.000,0.000
15,1mb.bin,5,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
16,1mb.bin,6,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
17,1mb.bin,7,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
18,1mb.bin,8,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
19,1mb.bin,9,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
20,1mb.bin,10,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.002,0,0.000,0.000
21,5mb.bin,1,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
22,5mb.bin,2,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
23,5mb.bin,3,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
24,5mb.bin,4,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
25,5mb.bin,5,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
26,5mb.bin,6,QUIC/HTTP3,0,0.000000,0.000000,0.000000,10.003,0,0.000,0.000
