request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_transfer_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
48,medium_page.bin,8,QUIC/HTTP3,204859,0.000450,0.000280,0.000660,0.003,75817543,74040.569,72.305
49,medium_page.bin,9,QUIC/HTTP3,204859,0.000440,0.000400,0.000790,0.003,69822427,68185.964,66.588
50,medium_page.bin,10,QUIC/HTTP3,204859,0.000450,0.000320,0.000550,0.003,78550230,76709.209,74.911
51,large_page.bin,1,QUIC/HTTP3,512059,0.000460,0.000270,0.001730,0.004,135608845,132430.513,129.327
52,large_page.bin,2,QUIC/HTTP3,512059,0.000450,0.000270,0.001930,0.004,128787475,125769.019,122.821
53,large_page.bin,3,QUIC/HTTP3,512059,0.000460,0.000300,0.001760,0.004,133976714,130836.635,127.770
54,large_page.bin,4,QUIC/HTTP3,512059,0.000460,0.000260,0.001900,0.004,130129352,127079.445,124.101
55,large_page.bin,5,QUIC/HTTP3,512059,0.000450,0.000320,0.001770,0.004,131634704,128549.516,125.537
56,large_page.bin,6,QUIC/HTTP3,512059,0.000450,0.000410,0.001670,0.004,133522555,130393.120,127.337
57,large_page.bin,7,QUIC/HTTP3,512059,0.000460,0.000260,0.001890,0.004,131162654,128088.529,125.086
58,large_page.bin,8,QUIC/HTTP3,512059,0.000440,0.000270,0.001880,0.004,130096291,127047.159,124.069
59,large_page.bin,9,QUIC/HTTP3,512059,0.000440,0.000390,0.001340,0.003,148079526,144608.912,141.220
60,large_page.bin,10,QUIC/HTTP3,512059,0.000460,0.000410,0.001840,0.004,125106035,122173.862,119.310
