request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_transfer_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
1,100kb.bin,1,QUIC/HTTP3,102459,0.000490,0.000440,0.000490,0.003,33692535,32902.866,32.132
2,100kb.bin,2,QUIC/HTTP3,102459,0.000460,0.000270,0.000450,0.003,38489482,37587.385,36.706
3,100kb.bin,3,QUIC/HTTP3,102459,0.000450,0.000330,0.000370,0.002,41666938,40690.369,39.737
4,100kb.bin,4,QUIC/HTTP3,102459,0.000460,0.000420,0.000460,0.003,38489482,37587.385,36.706
5,100kb.bin,5,QUIC/HTTP3,102459,0.000440,0.000400,0.000420,0.003,39867315,38932.925,38.020
6,100kb.bin,6,QUIC/HTTP3,102459,0.000470,0.000410,0.000420,0.003,39377018,38454.119,37.553
7,100kb.bin,7,QUIC/HTTP3,102459,0.000430,0.000270,0.000380,0.002,42602495,41603.999,40.629
8,100kb.bin,8,QUIC/HTTP3,102459,0.000430,0.000280,0.000370,0.002,42514108,41517.684,40.545
9,100kb.bin,9,QUIC/HTTP3,102459,0.000410,0.000320,0.000350,0.002,43323044,42307.660,41.316
10,100kb.bin,10,QUIC/HTTP3,102459,0.000420,0.000340,0.000360,0.002,42355932,41363.215,40.394
11,1mb.bin,1,QUIC/HTTP3,1048635,0.000450,0.000630,0.004590,0.007,149208167,145711.101,142.296
12,1mb.bin,2,QUIC/HTTP3,1048635,0.000420,0.000340,0.004010,0.006,172444499,168402.831,164.456
13,1mb.bin,3,QUIC/HTTP3,1048635,0.000450,0.000380,0.003740,0.006,179284493,175082.513,170.979
14,1mb.bin,4,QUIC/HTTP3,1048635,0.000450,0.000270,0.003180,0.005,201428160,196707.188,192.097
15,1mb.bin,5,QUIC/HTTP3,1048635,0.000460,0.000270,0.004220,0.006,166107239,162214.101,158.412
16,1mb.bin,6,QUIC/HTTP3,1048635,0.000440,0.000260,0.004260,0.006,167406609,163483.017,159.651
17,1mb.bin,7,QUIC/HTTP3,1048635,0.000440,0.000290,0.004130,0.006,169957050,165973.682,162.084
18,1mb.bin,8,QUIC/HTTP3,1048635,0.000440,0.000260,0.003810,0.006,180394805,176166.802,172.038
19,1mb.bin,9,QUIC/HTTP3,1048635,0.000440,0.000280,0.003590,0.006,187122591,182736.905,178.454
20,1mb.bin,10,QUIC/HTTP3,1048635,0.000470,0.000380,0.003720,0.006,178491064,174307.680,170.222
21,5mb.bin,1,QUIC/HTTP3,5242939,0.000460,0.000930,0.017700,0.020,256956430,250934.014,245.053
22,5mb.bin,2,QUIC/HTTP3,5242939,0.000450,0.000280,0.017730,0.020,265210127,258994.265,252.924
23,5mb.bin,3,QUIC/HTTP3,5242939,0.000440,0.000280,0.017920,0.020,262606511,256451.671,250.441
