request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_transfer_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
1,100kb.bin,1,QUIC/HTTP3,102459,0.000680,0.000580,0.000490,0.004,26550661,25928.380,25.321
2,100kb.bin,2,QUIC/HTTP3,102459,0.000470,0.000300,0.000380,0.003,38707594,37800.385,36.914
3,100kb.bin,3,QUIC/HTTP3,102459,0.000440,0.000370,0.000320,0.002,41683889,40706.923,39.753
4,100kb.bin,4,QUIC/HTTP3,102459,0.000450,0.000260,0.000390,0.002,42355932,41363.215,40.394
5,100kb.bin,5,QUIC/HTTP3,102459,0.000440,0.000410,0.000360,0.003,40369976,39423.805,38.500
6,100kb.bin,6,QUIC/HTTP3,102459,0.000430,0.000400,0.000360,0.003,40706794,39752.729,38.821
7,100kb.bin,7,QUIC/HTTP3,102459,0.000440,0.000400,0.000350,0.003,40497628,39548.465,38.622
8,100kb.bin,8,QUIC/HTTP3,102459,0.000410,0.000320,0.000280,0.002,43158804,42147.270,41.159
9,100kb.bin,9,QUIC/HTTP3,102459,0.000410,0.000330,0.000250,0.002,44781031,43731.476,42.707
10,100kb.bin,10,QUIC/HTTP3,102459,0.000400,0.000320,0.000270,0.002,43767194,42741.400,41.740
11,100kb.bin,11,QUIC/HTTP3,102459,0.000420,0.000350,0.000280,0.002,43304734,42289.779,41.299
12,100kb.bin,12,QUIC/HTTP3,102459,0.000410,0.000330,0.000270,0.002,43898458,42869.588,41.865
13,100kb.bin,13,QUIC/HTTP3,102459,0.000410,0.000330,0.000260,0.002,43860873,42832.884,41.829
14,100kb.bin,14,QUIC/HTTP3,102459,0.000410,0.000320,0.000260,0.002,44663906,43617.096,42.595
15,100kb.bin,15,QUIC/HTTP3,102459,0.000400,0.000310,0.000260,0.002,45476698,44410.838,43.370
16,100kb.bin,16,QUIC/HTTP3,102459,0.000410,0.000330,0.000270,0.002,43599574,42577.709,41.580
17,100kb.bin,17,QUIC/HTTP3,102459,0.000430,0.000270,0.000390,0.002,42816130,41812.627,40.833
18,100kb.bin,18,QUIC/HTTP3,102459,0.000430,0.000390,0.000260,0.002,42408526,41414.576,40.444
19,100kb.bin,19,QUIC/HTTP3,102459,0.000430,0.000380,0.000330,0.002,41888389,40906.630,39.948
20,100kb.bin,20,QUIC/HTTP3,102459,0.000430,0.000240,0.000400,0.002,42514108,41517.684,40.545
21,100kb.bin,21,QUIC/HTTP3,102459,0.000420,0.000290,0.000330,0.002,43068096,42058.688,41.073
22,100kb.bin,22,QUIC/HTTP3,102459,0.000440,0.000400,0.000360,0.003,40465640,39517.227,38.591
23,100kb.bin,23,QUIC/HTTP3,102459,0.000840,0.000520,0.000550,0.005,21534048,21029.344,20.536
24,100kb.bin,24,QUIC/HTTP3,102459,0.000490,0.000430,0.000290,0.003,40322314,39377.260,38.454
25,100kb.bin,25,QUIC/HTTP3,102459,0.000460,0.000410,0.000350,0.003,40481628,39532.840,38.606
26,100kb.bin,26,QUIC/HTTP3,102459,0.000450,0.000410,0.000360,0.003,40354076,39408.277,38.485
27,100kb.bin,27,QUIC/HTTP3,102459,0.000440,0.000390,0.000360,0.003,40934479,39975.077,39.038
28,100kb.bin,28,QUIC/HTTP3,102459,0.000440,0.000280,0.000370,0.002,42780376,41777.711,40.799
29,100kb.bin,29,QUIC/HTTP3,102459,0.000440,0.000350,0.000280,0.002,43050000,42041.016,41.056
30,100kb.bin,30,QUIC/HTTP3,102459,0.000430,0.000400,0.000350,0.002,41264197,40297.067,39.353
31,100kb.bin,31,QUIC/HTTP3,102459,0.000460,0.000260,0.000350,0.002,43050000,42041.016,41.056
32,100kb.bin,32,QUIC/HTTP3,102459,0.000440,0.000380,0.000350,0.003,40642205,39689.653,38.759
33,100kb.bin,33,QUIC/HTTP3,102459,0.000430,0.000260,0.000380,0.002,43213412,42200.598,41.212
34,100kb.bin,34,QUIC/HTTP3,102459,0.000440,0.000340,0.000270,0.002,43748506,42723.150,41.722
35,100kb.bin,35,QUIC/HTTP3,102459,0.000440,0.000400,0.000360,0.003,40771588,39816.004,38.883
36,100kb.bin,36,QUIC/HTTP3,102459,0.000430,0.000280,0.000390,0.002,42673469,41673.310,40.697
37,100kb.bin,37,QUIC/HTTP3,102459,0.000440,0.000390,0.000340,0.003,40626090,39673.916,38.744
38,100kb.bin,38,QUIC/HTTP3,102459,0.000460,0.000420,0.000360,0.003,39960608,39024.031,38.109
39,100kb.bin,39,QUIC/HTTP3,102459,0.000460,0.000280,0.000300,0.002,43507006,42487.311,41.492
40,100kb.bin,40,QUIC/HTTP3,102459,0.000410,0.000320,0.000260,0.002,44957876,43904.176,42.875
41,1mb.bin,1,QUIC/HTTP3,1048635,0.000470,0.000460,0.003280,0.006,189455285,185014.927,180.679
42,1mb.bin,2,QUIC/HTTP3,1048635,0.000450,0.000260,0.003060,0.005,206140161,201308.751,196.591
43,1mb.bin,3,QUIC/HTTP3,1048635,0.000440,0.000400,0.003630,0.006,179100769,174903.095,170.804
44,1mb.bin,4,QUIC/HTTP3,1048635,0.000460,0.000300,0.003580,0.006,186324627,181957.644,177.693
45,1mb.bin,5,QUIC/HTTP3,1048635,0.000500,0.000350,0.003220,0.005,193439402,188905.666,184.478
46,1mb.bin,6,QUIC/HTTP3,1048635,0.000450,0.000380,0.003090,0.005,199360266,194687.760,190.125
47,1mb.bin,7,QUIC/HTTP3,1048635,0.000430,0.000270,0.003640,0.006,180177835,175954.917,171.831
48,1mb.bin,8,QUIC/HTTP3,1048635,0.000430,0.000390,0.003110,0.005,200503824,195804.516,191.215
49,1mb.bin,9,QUIC/HTTP3,1048635,0.000440,0.000390,0.003640,0.006,179376497,175172.360,171.067
50,1mb.bin,10,QUIC/HTTP3,1048635,0.000450,0.000280,0.003750,0.006,181424740,177172.598,173.020
51,1mb.bin,11,QUIC/HTTP3,1048635,0.000430,0.000270,0.002470,0.004,234070313,228584.290,223.227
52,1mb.bin,12,QUIC/HTTP3,1048635,0.000450,0.000320,0.003820,0.006,171093979,167083.964,163.168
53,1mb.bin,13,QUIC/HTTP3,1048635,0.000460,0.000330,0.003210,0.005,195750420,191162.520,186.682
54,1mb.bin,14,QUIC/HTTP3,1048635,0.000450,0.000400,0.003360,0.006,189489519,185048.358,180.711
55,1mb.bin,15,QUIC/HTTP3,1048635,0.000450,0.000270,0.003560,0.006,188028510,183621.592,179.318
56,1mb.bin,16,QUIC/HTTP3,1048635,0.000450,0.000260,0.003790,0.006,180115940,175894.473,171.772
57,1mb.bin,17,QUIC/HTTP3,1048635,0.000440,0.000270,0.003750,0.006,181393358,177141.951,172.990
58,1mb.bin,18,QUIC/HTTP3,1048635,0.000440,0.000380,0.003290,0.006,189045430,184614.678,180.288
59,1mb.bin,19,QUIC/HTTP3,1048635,0.000530,0.000400,0.003250,0.006,190245827,185786.940,181.433
60,1mb.bin,20,QUIC/HTTP3,1048635,0.000450,0.000280,0.002980,0.005,209894916,204975.504,200.171
61,1mb.bin,21,QUIC/HTTP3,1048635,0.000430,0.000370,0.003150,0.005,199095310,194429.014,189.872
62,1mb.bin,22,QUIC/HTTP3,1048635,0.000440,0.000390,0.003440,0.006,186490308,182119.441,177.851
63,1mb.bin,23,QUIC/HTTP3,1048635,0.000420,0.000380,0.003800,0.006,174365647,170278.952,166.288
64,1mb.bin,24,QUIC/HTTP3,1048635,0.000440,0.000390,0.003470,0.006,186324627,181957.644,177.693
65,1mb.bin,25,QUIC/HTTP3,1048635,0.000470,0.000270,0.003620,0.006,185336691,180992.862,176.751
66,1mb.bin,26,QUIC/HTTP3,1048635,0.000440,0.000250,0.003770,0.006,181770671,177510.421,173.350
67,1mb.bin,27,QUIC/HTTP3,1048635,0.000450,0.000410,0.003800,0.006,175856951,171735.304,167.710
68,1mb.bin,28,QUIC/HTTP3,1048635,0.000460,0.000270,0.003700,0.006,181299274,177050.072,172.900
69,1mb.bin,29,QUIC/HTTP3,1048635,0.000480,0.000420,0.003460,0.006,184197260,179880.137,175.664
70,1mb.bin,30,QUIC/HTTP3,1048635,0.000440,0.000260,0.003720,0.006,182880188,178593.934,174.408
71,1mb.bin,31,QUIC/HTTP3,1048635,0.000440,0.000250,0.003600,0.006,187122591,182736.905,178.454
72,1mb.bin,32,QUIC/HTTP3,1048635,0.000440,0.000380,0.003630,0.006,181487539,177233.925,173.080
73,1mb.bin,33,QUIC/HTTP3,1048635,0.000450,0.000390,0.003360,0.006,189455285,185014.927,180.679
74,1mb.bin,34,QUIC/HTTP3,1048635,0.000440,0.000280,0.003730,0.006,182117923,177849.534,173.681
75,1mb.bin,35,QUIC/HTTP3,1048635,0.000450,0.000310,0.003860,0.006,175974996,171850.582,167.823
76,1mb.bin,36,QUIC/HTTP3,1048635,0.000430,0.000260,0.003700,0.006,183842041,179533.243,175.325
77,1mb.bin,37,QUIC/HTTP3,1048635,0.000450,0.000270,0.002990,0.005,208393283,203509.065,198.739
78,1mb.bin,38,QUIC/HTTP3,1048635,0.000410,0.000340,0.003350,0.005,193475092,188940.520,184.512
