request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_ttlb_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
48,1mb.bin,8,QUIC/HTTP3,1048635,0.000440,0.000240,0.003580,0.006,188603417,184183.024,179.866
49,1mb.bin,9,QUIC/HTTP3,1048635,0.000450,0.000390,0.003470,0.006,185467810,181120.908,176.876
50,1mb.bin,10,QUIC/HTTP3,1048635,0.000450,0.000270,0.003850,0.006,177915677,173745.778,169.674
51,1mb.bin,11,QUIC/HTTP3,1048635,0.000460,0.000260,0.003570,0.006,188298617,183885.368,179.576
52,1mb.bin,12,QUIC/HTTP3,1048635,0.000420,0.000320,0.002580,0.005,227617756,222282.965,217.073
53,1mb.bin,13,QUIC/HTTP3,1048635,0.000410,0.000270,0.003620,0.006,184456464,180133.266,175.911
54,1mb.bin,14,QUIC/HTTP3,1048635,0.000420,0.000330,0.003110,0.005,202322014,197580.092,192.949
55,1mb.bin,15,QUIC/HTTP3,1048635,0.000470,0.000260,0.003180,0.005,200618902,195916.896,191.325
56,1mb.bin,16,QUIC/HTTP3,1048635,0.000450,0.000260,0.003720,0.006,182403027,178127.956,173.953
57,1mb.bin,17,QUIC/HTTP3,1048635,0.000480,0.000280,0.003390,0.005,192586777,188073.024,183.665
58,1mb.bin,18,QUIC/HTTP3,1048635,0.000440,0.000260,0.003510,0.006,189215987,184781.237,180.450
59,1mb.bin,19,QUIC/HTTP3,1048635,0.000450,0.000260,0.003470,0.006,190591603,186124.612,181.762
60,1mb.bin,20,QUIC/HTTP3,1048635,0.000450,0.000260,0.003710,0.006,182657203,178376.175,174.195
61,1mb.bin,21,QUIC/HTTP3,1048635,0.000450,0.000260,0.003530,0.006,187256250,182867.432,178.581
62,1mb.bin,22,QUIC/HTTP3,1048635,0.000410,0.000250,0.003740,0.006,180581195,176348.823,172.216
63,1mb.bin,23,QUIC/HTTP3,1048635,0.000450,0.000240,0.002990,0.005,209894916,204975.504,200.171
64,1mb.bin,24,QUIC/HTTP3,1048635,0.000460,0.000270,0.003550,0.006,186855845,182476.411,178.200
65,1mb.bin,25,QUIC/HTTP3,1048635,0.000430,0.000280,0.003270,0.005,199133118,194465.936,189.908
66,1mb.bin,26,QUIC/HTTP3,1048635,0.000460,0.000280,0.003020,0.005,206994670,202143.232,197.406
67,1mb.bin,27,QUIC/HTTP3,1048635,0.000460,0.000260,0.003570,0.006,186855845,182476.411,178.200
68,1mb.bin,28,QUIC/HTTP3,1048635,0.000470,0.000260,0.003680,0.006,183681030,179376.006,175.172
69,1mb.bin,29,QUIC/HTTP3,1048635,0.000450,0.000250,0.003400,0.005,193904401,189359.767,184.922
70,1mb.bin,30,QUIC/HTTP3,1048635,0.000450,0.000250,0.003720,0.006,181928348,177664.402,173.500
71,1mb.bin,31,QUIC/HTTP3,1048635,0.000440,0.000270,0.003750,0.006,180830316,176592.105,172.453
72,1mb.bin,32,QUIC/HTTP3,1048635,0.000430,0.000260,0.002780,0.005,219977974,214822.240,209.787
73,1mb.bin,33,QUIC/HTTP3,1048635,0.000460,0.000260,0.003580,0.006,186225360,181860.703,177.598
74,1mb.bin,34,QUIC/HTTP3,1048635,0.000440,0.000270,0.003560,0.006,187893747,183489.987,179.189
75,1mb.bin,35,QUIC/HTTP3,1048635,0.000450,0.000260,0.003490,0.005,190973411,186497.472,182.126
76,1mb.bin,36,QUIC/HTTP3,1048635,0.000440,0.000260,0.003290,0.005,197297272,192673.117,188.157
77,1mb.bin,37,QUIC/HTTP3,1048635,0.000450,0.000280,0.003720,0.006,182023086,177756.920,173.591
78,1mb.bin,38,QUIC/HTTP3,1048635,0.000450,0.000280,0.003400,0.005,192692944,188176.703,183.766
79,1mb.bin,39,QUIC/HTTP3,1048635,0.000420,0.000330,0.003240,0.005,196006542,191412.639,186.926
80,1mb.bin,40,QUIC/HTTP3,1048635,0.000450,0.000250,0.003090,0.005,204014591,199232.999,194.563
81,5mb.bin,1,QUIC/HTTP3,5242939,0.000440,0.000750,0.012190,0.015,356274735,347924.546,339.770
82,5mb.bin,2,QUIC/HTTP3,5242939,0.000430,0.000380,0.025880,0.028,187034068,182650.457,178.370
83,5mb.bin,3,QUIC/HTTP3,5242939,0.000440,0.000250,0.014590,0.017,316507033,309088.899,301.845
84,5mb.bin,4,QUIC/HTTP3,5242939,0.000440,0.000270,0.012320,0.014,365743913,357171.790,348.801
85,5mb.bin,5,QUIC/HTTP3,5242939,0.000450,0.000270,0.013670,0.016,333287076,325475.660,317.847
86,5mb.bin,6,QUIC/HTTP3,5242939,0.000430,0.000270,0.013090,0.015,347099570,338964.424,331.020
87,5mb.bin,7,QUIC/HTTP3,5242939,0.000440,0.000260,0.013360,0.015,341203892,333206.926,325.397
88,5mb.bin,8,QUIC/HTTP3,5242939,0.000420,0.000260,0.027250,0.029,179056009,174859.384,170.761
89,5mb.bin,9,QUIC/HTTP3,5242939,0.000420,0.000340,0.013230,0.015,339239016,331288.102,323.524
90,5mb.bin,10,QUIC/HTTP3,5242939,0.000410,0.000310,0.013350,0.015,340959810,332968.564,325.165
